Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,RZ2Idx
12-09-2026,1743.36695671082,960,320,1,1,1,1,NaN
12-09-2026,1750.8819103241,960,320,1,1,1,1,NaN
12-09-2026,1760.04195213318,960,320,1,1,1,1,NaN
12-09-2026,1767.41909980774,960,320,1,1,1,1,NaN
12-09-2026,1776.38602256775,960,343.71636097293,1,1,1,1,NaN
12-09-2026,1784.18302536011,960,343.71636097293,1,1,1,1,NaN
12-09-2026,1793.19500923157,960,371.074800866726,1,1,1,1,NaN
12-09-2026,1800.74906349182,960,385.66454054384,1,1,1,1,NaN
12-09-2026,1809.83996391296,960,398.411816766869,1,1,1,1,NaN
12-09-2026,1817.5220489502,960,411.180516983551,1,1,1,1,NaN
12-09-2026,1826.53498649597,960,422.128177739799,1,1,1,1,NaN
12-09-2026,1834.19394493103,960,433.054414502396,1,1,1,1,NaN
12-09-2026,1843.26601028442,960,444.002075258644,1,1,1,1,NaN
12-09-2026,1850.86798667908,960,449.465193639943,1,1,1,1,NaN
12-09-2026,1860.0070476532,960,462.233893856624,1,1,1,1,NaN
12-09-2026,1883.43906402588,960,482.286751915036,2,1,1,1,NaN
12-09-2026,1892.15803146362,960,487.771294289987,2,1,1,1,NaN
12-09-2026,1902.56810188293,960,491.413373210852,3,1,1,1,NaN
12-09-2026,1911.67402267456,960,495.055452131718,3,1,1,1,NaN
12-09-2026,1917.58799552917,960,495.055452131718,3,1,1,1,NaN
12-09-2026,1926.75495147705,960,495.055452131718,3,1,1,1,NaN
12-09-2026,1934.14402008057,960,495.055452131718,3,1,1,1,NaN
12-09-2026,1943.01009178162,960,495.055452131718,3,1,1,1,NaN
12-09-2026,1950.87695121765,960,495.055452131718,3,1,1,1,NaN
12-09-2026,1960.06011962891,960,496.876491592151,3,1,1,1,NaN
12-09-2026,1967.47899055481,960,496.876491592151,3,1,1,1,NaN
12-09-2026,1976.60803794861,960,498.697531052583,3,1,1,1,NaN
12-09-2026,1984.21692848206,960,498.697531052583,3,1,1,1,NaN
12-09-2026,1993.29304695129,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2000.88095664978,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2010.02407073975,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2017.54713058472,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2026.48091316223,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2034.21211242676,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2043.16091537476,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2050.88210105896,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2060.05811691284,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2067.55399703979,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2076.49111747742,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2084.20491218567,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2093.19496154785,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2100.88109970093,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2110.09192466736,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2117.59090423584,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2126.80411338806,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2134.21106338501,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2143.22710037231,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2150.91109275818,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2160.01009941101,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2167.46807098389,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2176.34010314941,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2184.11707878113,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2192.97099113464,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2200.77395439148,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2209.54704284668,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2217.5600528717,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2226.58705711365,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2234.20405387878,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2243.23511123657,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2250.86092948914,960,498.697531052583,3,1,1,1,NaN
