Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,RZ2Idx,MoveTime_ms
19-09-2026,922201.35307312,843.301126133,504.182073427534,7,3,40,1,NaN,283.279895782471
19-09-2026,922210.733175278,810.889004181036,515.10831019013,7,3,40,1,NaN,292.659997940063
19-09-2026,922218.075037003,781.714285714286,520.592852565081,7,3,40,1,NaN,300.001859664917
19-09-2026,922227.239131927,759.052461317789,533.361552781762,7,3,40,1,NaN,309.165954589844
19-09-2026,922234.758138657,729.877742851039,535.182592242195,7,3,40,1,NaN,316.68496131897
19-09-2026,922244.080066681,710.41523483993,535.182592242195,7,3,40,1,NaN,326.006889343262
19-09-2026,922251.404047012,703.940427869503,535.182592242195,7,3,40,1,NaN,333.330869674683
19-09-2026,922260.72716713,684.477919858394,535.182592242195,7,3,40,1,NaN,342.65398979187
19-09-2026,922268.0580616,684.477919858394,535.182592242195,7,3,40,1,NaN,349.984884262085
19-09-2026,922277.336120605,678.003112887967,531.519089327677,7,3,40,1,NaN,359.262943267822
19-09-2026,922284.726142883,652.06579790643,518.771813104648,7,3,40,1,NaN,366.652965545654
19-09-2026,922294.034004211,645.590990936003,515.10831019013,7,3,40,1,NaN,375.960826873779
19-09-2026,922301.387071609,622.89107943968,500.539994506668,7,3,40,1,NaN,383.313894271851
19-09-2026,922310.439109802,616.416272469253,496.876491592151,7,3,40,1,NaN,392.3659324646
19-09-2026,922318.094015121,596.953764458144,493.234412671285,8,3,40,1,NaN,400.020837783813
19-09-2026,922327.450037003,584.004150517289,489.59233375042,8,3,40,1,NaN,409.376859664917
19-09-2026,922334.740161896,584.004150517289,489.59233375042,8,3,40,1,NaN,416.666984558105
19-09-2026,922343.866109848,571.016449476607,489.59233375042,8,3,40,1,NaN,425.792932510376
19-09-2026,922351.392030716,548.316537980285,491.413373210852,8,3,40,1,NaN,433.318853378296
19-09-2026,922360.779047012,541.841731009857,495.055452131718,8,3,40,1,NaN,442.705869674683
19-09-2026,922368.053197861,519.141819513535,496.876491592151,8,3,40,1,NaN,449.980020523071
19-09-2026,922377.314090729,515.904416028321,498.697531052583,8,3,40,1,NaN,459.240913391113
19-09-2026,922384.733200073,509.429609057894,498.697531052583,8,3,40,1,NaN,466.660022735596
19-09-2026,922394.029140472,509.429609057894,498.697531052583,8,3,40,1,NaN,475.955963134766
19-09-2026,922401.349067688,502.954802087466,498.697531052583,8,3,40,1,NaN,483.275890350342
19-09-2026,922410.685062408,496.479995117038,498.697531052583,8,3,40,1,NaN,492.611885070801
19-09-2026,922418.023109436,493.204504531999,500.539994506668,8,3,40,1,NaN,499.949932098389
19-09-2026,922427.127122879,486.729697561571,500.539994506668,8,3,40,1,NaN,509.053945541382
19-09-2026,922434.739112854,483.492294076357,500.539994506668,8,3,40,1,NaN,516.665935516357
19-09-2026,922443.963050842,480.254890591143,500.539994506668,8,3,40,1,NaN,525.889873504639
19-09-2026,922451.426029205,477.01748710593,502.361033967101,8,3,40,1,NaN,533.352851867676
19-09-2026,922460.809230804,477.01748710593,502.361033967101,8,3,40,1,NaN,542.736053466797
19-09-2026,922468.074083328,477.01748710593,502.361033967101,8,3,40,1,NaN,550.000905990601
19-09-2026,922477.343082428,477.01748710593,502.361033967101,8,3,40,1,NaN,559.269905090332
19-09-2026,922484.708070755,477.01748710593,502.361033967101,8,3,40,1,NaN,566.634893417358
19-09-2026,922494.017124176,477.01748710593,502.361033967101,8,3,40,1,NaN,575.943946838379
19-09-2026,922501.370191574,477.01748710593,502.361033967101,8,3,40,1,NaN,583.29701423645
19-09-2026,922510.702133179,477.01748710593,502.361033967101,8,3,40,1,NaN,592.628955841064
19-09-2026,922517.999172211,477.01748710593,502.361033967101,8,3,40,1,NaN,599.925994873047
